filename,filetitle,fileinfo,filters
4ASDELERIUMinfo,4As DELIRIUM,Screening for delirium in older patients,"All,Neuro,Old,Psych"
4CMORTALITYinfo,4C MORTALITY,Predicts in-hospital mortality in patients admitted with COVID-19,"All,CriticalCare,Resp"
4PEPSinfo,4PEPS,4-Level Pulmonary Embolism Clinical Probability Score (4PEPS): Rules out PE based on clinical criteria,"All,Emergency,Resp"
4Tsinfo,4Ts HIT Score,Differentiates patients with Heparin-Induced Thrombocytopenia from those with other causes of thrombocytopenia,"All,Haem"
6MINUTEWALKDISTANCEinfo,6 MINUTE WALK DISTANCE,"Calculates reference values for distance walked, as a measure of functional status","All,GP,MSK,Old"
ABCD2info,ABCD2,Estimates the risk of stroke after a suspected transient ischemic attack (TIA),"All,Emergency,GP,Neuro,Old"
ACR-EULARPMRinfo,ACR-EULAR PMR,Diagnoses polymyalgia rheumatica (PMR) in patients based on 2012 EULAR/ACR criteria,"All,GP,MSK"
ACR-EULARRAinfo,ACR-EULAR RA,Diagnoses rheumatoid arthritis (RA) in patients with undifferentiated inflammatory synovitis,"All,GP,MSK"
ACUTEGOUTDIAGNOSISinfo,ACUTE GOUT DIAGNOSIS,Risk stratifies for gout vs non-gout arthritis,"All,Emergency,GP,MSK"
ADHDinfo,ADHD-ADULT SELF-REPORT SCALE,Used as diagnostic tool for adult ADHD,"All,GP,Psych"
ADJUSTEDBODYWEIGHTinfo,BODY WEIGHT - ADJUSTED,Calculates adjusted body weight. For use in obese patients where actual > ideal body weight,"All,CriticalCare,Gastro,GP"
AGEADJUSTEDCRPESRinfo,AGE ADJUSTED CRP/ESR,Calculates age-adjusted ESR and CRP in adult patients,"All,MSK,GP"
AGE-ADJUSTEDD-DIMERinfo,AGE-ADJUSTED D-DIMER,Adjusts D-dimer cutoffs by age to help rule out VTE in patients ≥50 years old,"All,Cardio,Emergency"
AIRinfo,AIR SCORE,Diagnoses appendicitis based on clinical and laboratory findings,"All,Emergency,GenSurg"
AKINCLASSIFICATIONinfo,AKIN CLASSIFICATION,AKIN Classification for acute kidney injury (AKI),"All,Renal"
ALCinfo,ABSOLUTE LYMPHOCYTE COUNT,Absolute Lymphocyte Count: predicts CD4 count,"All,Haem"
ALT-70info,ALT-70 CELLULITIS,Predicts likelihood of lower limb cellulitis,"All,Emergency,GP"
AMT-10info,AMT-10,"Assesses mental impairment in elderly patients, screening for delirium or dementia","All,Emergency,GP,Neuro,Old,Psych"
AMT-4info,AMT-4,"Assesses mental impairment in elderly patients, screening for delirium or dementia","All,Emergency,GP,Neuro,Old,Psych"
ANCinfo,ABSOLUTE NEUTROPHIL COUNT,Absolute Neutrophil Count: used to determine potential neutropenia in immunocompromised patients,"All,Haem"
ANIONinfo,ANION GAP,Evaluates states of metabolic acidosis,"All,CriticalCare,Endo,Gastro,Renal,Resp"
ANIONCorrectedinfo,ANION GAP ALBUMIN,Evaluates states of metabolic acidosis. Includes correction for Albumin.,"All,CriticalCare,Endo,Gastro,Renal,Resp"
APACHEIISCOREinfo,APACHE II SCORE,Estimates ICU mortality,"All,CriticalCare"
APGARSCOREinfo,APGAR SCORE,Assesses neonates 1 and 5 minutes after birth,"All,Paeds"
APRIinfo,APRI,"AST to Platelet Ratio Index.
Determines the likelihood of hepatic fibrosis and cirrhosis in patients with hepatitis C","All,Gastro"
ASAinfo,ASA CLASSIFICATION,Classifies health of patients prior to surgery,All
ASASCRITERIAinfo,ASAS AXIAL CRITERIA,Classifies Axial spondyloarthritis according to Assessment of Spondyloarthritis International Society (ASAS) criteria,"All,GP,MSK,Ophth"
ASASCRITERIAPinfo,ASAS PERIPHERAL CRITERIA,Classifies Peripheral spondyloarthritis according to Assessment of Spondyloarthritis International Society (ASAS) criteria,"All,GP,MSK,Ophth"
ASDAS-CRPinfo,ASDAS-CRP,Ankylosing Spondylitis Disease Activity Score with CRP: stratifies disease severity,"All,MSK"
ASDAS-ESRinfo,ASDAS-ESR,Ankylosing Spondylitis Disease Activity Score with ESR: stratifies disease severity,"All,MSK"
