"subjectID","subjectTitle","iconStyle","pdf","keywords","linked","references","favourite","subjectTagline"
"1","Abdominal Pain Assessment","1","AbdoPainAx","Gastroenterology Surgery abdomen IBD colitis appendicitis","DeterioratingPatientAx ChestPainAx FeverAx HaematuriaAx HaematemesisAx LowUrineOutputAx RectalBleedingAx AlcoholMx ConstipationMx HypercalcaemiaMx HyperglycaemiaMx IVFluidMx NauseaMx PainMx Sepsis6 VTEProphylaxis ABGAnalysis AKI AXR CXR ECG IVFluids NGTube AsciticFluidAnalysis UpperGIBleedMx DecompensatedCirrhosisMx OxygenDelivery ColitisMx AIRinfo ATLASSCORECDIFFinfo AlvaradoScoreinfo BISAPSCOREinfo CDAIinfo GLASGOW-IMRIEinfo HARVEY-BRADSHAWinfo MAYOSCOREinfo RomeIVIBSinfo SAAGinfo STONESCOREinfo TRUELOVEWITTSinfo TWISTinfo","Kopitnik N, Kashyap S, Dominique E 2025$$Acute abdomen$$https://www.ncbi.nlm.nih.gov/books/NBK459328/££Cartwright, S.L. and Knudson, M.P 2008$$Evaluation of acute abdominal pain in adults 2008$$https://www.aafp.org/pubs/afp/issues/2008/0401/p971.html££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","A-E assessment of abdominal pain, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"2","Chest Pain Assessment","1","ChestPainAx","Emergency Cardiology Respiratory Medicine ACS STEMI NSTEMI heart","DeterioratingPatientAx AbdoPainAx FeverAx HaematemesisAx HaemoptysisAx SOBAx ACSMx AcuteAsthmaMx AnaphylaxisMx BradycardiaMx COPDExacerbationMx DVTPEMx HeartFailureMx NauseaMx PainMx PneumoniaMx OxygenDelivery PneumothoraxMx Sepsis6 TachycardiaMx TransfusionReactionMx VTEProphylaxis ABGAnalysis CXR ECG IVFluids MSKAnatomy 4PEPSinfo AGE-ADJUSTEDD-DIMERinfo BRUGADACRITERIAinfo CORRECTEDQTinfo CURB-65info SGARBOSSAMODIFIEDinfo VANCOUVERinfo WELLSPEinfo PleuralFluidAnalysis AFMx","National Institute for Health and Care Excellence$$Chest pain of recent onset: assessment and diagnosis (NICE Guideline CG95). 2016$$https://www.nice.org.uk/guidance/cg95££National Institute for Health and Care Excellence$$Acute coronary syndromes (NICE guideline NG185) 2020$$https://www.nice.org.uk/guidance/NG185££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024 $$https://academic.oup.com/book/56266","0","A-E assessment of chest pain, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"3","Confirming Death","1","ConfirmingDeath","Geriatrics Surgery Medicine RIP confirmation","DeterioratingPatientAx EndOfLifeMedications","Academy of medical royal colleges 2025$$A Code of Practice for the diagnosis and confirmation of death 2025$$https://www.aomrc.org.uk/wp-content/uploads/2025/01/Code_of_Practice_Diagnosis_of_Death_010125.pdf","0","Explains the process for confirming death"
"4","Confusion Assessment","1","ConfusionAx","Neurology Geriatrics Medicine dementia infection AMTS violent aggression","DeterioratingPatientAx FallsAx FeverAx HeadacheAx LowGCSAx StrokeAx AcuteSeizureMx AlcoholMx ConstipationMx HeadInjury HypercalcaemiaMx HypocalcaemiaMx HypoglycaemiaMx HypokalemiaMx HypomagnesemiaMx HyponatremiaMx HypophosphatemiaMx PainMx SedationMx Sepsis6 StrokeMx VTEProphylaxis ABGAnalysis CapacityConsent CSFAnalysis NeuroAnatomy NeuroExam 4ASDELERIUMinfo AMT-10info AMT-4info ANIONinfo ANIONCorrectedinfo AWOLSCOREinfo AbbeyPainScaleinfo CIWA-Arinfo GAD-7info GCSinfo GCSPUPILinfo HAMILTONANXIETYSCALEinfo HYPONATRAEMIANADEFICIT-ADULTinfo PAINADVANCEDDEMENTIAinfo PHQ-9info WESTHAVENinfo DecompensatedCirrhosisMx","National Institute for Health and Care Excellence 2023$$Delirium: prevention, diagnosis and management in hospital and long-term care NICE guideline CG103$$https://www.nice.org.uk/guidance/cg103/chapter/Recommendations 2023££National Institute for Health and Care Excellence 2018$$Dementia: assessment, management and support for people living with dementia and their carers NICE guideline NG97 2018$$https://www.nice.org.uk/guidance/ng97££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","A-E assessment of confusion, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"5","Deteriorating Patient Assessment","1","DeterioratingPatientAx","Emergency Cardiology Neurology Respiratory Surgery Medicine Sepsis ACS  unwell highNEWS hypotension","AbdoPainAx ChestPainAx ConfirmingDeath ConfusionAx FeverAx HaematemesisAx LowGCSAx LowUrineOutputAx SOBAx StrokeAx ACSMx AcuteAsthmaMx AcuteSeizureMx ALS AnaphylaxisMx BradycardiaMx COPDExacerbationMx DVTPEMx EndOfLifeMedications HeadInjury HeartFailureMx IVFluidMx PainMx PneumoniaMx PneumothoraxMx Sepsis6 StrokeMx TachycardiaMx TransfusionReactionMx VTEProphylaxis ABGAnalysis AKI AXR CXR ECG IVFluids NeuroExam PleuralFluidAnalysis AsciticFluidAnalysis UpperGIBleedMx DecompensatedCirrhosisMx AFMx OxygenDelivery 4PEPSinfo AGEADJUSTEDCRPESRinfo AKINCLASSIFICATIONinfo ANIONinfo ANIONCorrectedinfo APACHEIISCOREinfo BUNinfo CKD-EPIinfo CLIF-CACLFinfo CREATININECLEARANCEinfo GCSinfo GCSPUPILinfo ISTHCRITERIAinfo KIDNEYFAILUREinfo LRINECinfo MAPinfo MEWSinfo NEWS2info mSOFAinfo QSOFAinfo","National Institute for Health and Care Excellence 2007$$Acutely ill adults in hospital: recognising and responding to deterioration NICE guideline CG50 2007$$https://www.nice.org.uk/guidance/cg50££Resuscitation Council UK 2021$$Adult advanced life support guidelines$$https://www.resus.org.uk/library/2021-resuscitation-guidelines/adult-advanced-life-support-guidelines££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2024$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","A-E assessment of the deteriorating patient, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"6","Eye Assessment","1","OphthalmologyEx","Surgery eyes redeye conjunctivitis dryeye lossofvision visualdisturbance opticneuritis diplopia GCA acuity snellen ophthalmology","OphthalmologyMx ACR-EULARPMRinfo AGEADJUSTEDCRPESRinfo GCAinfo ROPERHALLinfo","The College of Optometrists 2022$$College of Optometrists Guidance for professional practice$$https://www.college-optometrists.org/clinical-guidance/guidance/knowledge,-skills-and-performance££National Institute for Health and Care Excellence 2021$$How should I assess someone with a red eye? 2021$$https://cks.nice.org.uk/topics/red-eye/diagnosis/diagnosis/","0","A-E assessment of the eye, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"7","Falls Assessment","1","FallsAx","Fall Geriatric Trip Headinjury Fracture Collapse","ConfusionAx LowGCSAx PainfulLimbAx AcuteSeizureMx AlcoholMx BradycardiaMx CervicalSpineInjury HeadInjury INRMx Sepsis6 StrokeMx TachycardiaMx VTEProphylaxis ECG IVFluids MSKAnatomy MSKXray NeuroAnatomy NeuroExam 4ASDELERIUMinfo 6MINUTEWALKDISTANCEinfo MEWSinfo NEWS2info","National Institute for Health and Care Excellence 2007$$NICE Quality Standard QS86 Falls 2025$$https://www.nice.org.uk/guidance/qs86££National Institute for Health and Care Excellence 2007$$NICE Guideline NG 249 Falls: assessment and prevention in older people and in people 50 and over at higher risk 2025$$https://www.nice.org.uk/guidance/ng249","0","A-E assessment of a patient who has fall, including advice on key signs and symptoms, useful investigation and potential diagnoses"
"8","Fever Assessment","1","FeverAx","Emergency Microbiology Medicine Temperature sepsis infection febrile","DeterioratingPatientAx AbdoPainAx ChestPainAx ConfusionAx LowGCSAx SOBAx AcuteSeizureMx COPDExacerbationMx IVFluidMx NauseaMx PneumoniaMx Sepsis6 TachycardiaMx TransfusionReactionMx VTEProphylaxis ABGAnalysis CXR CSFAnalysis ECG Gentamicin JointAspirationAnalysis Teicoplanin Vancomycin GCSinfo GCSPUPILinfo PleuralFluidAnalysis AsciticFluidAnalysis DecompensatedCirrhosisMx 4ASDELERIUMinfo AGEADJUSTEDCRPESRinfo AIRinfo ALT-70info APACHEIISCOREinfo AlvaradoScoreinfo CENTORinfo CURB-65info FeverPAINinfo MAPinfo MEWSinfo NEWS2info PEDISinfo mSOFAinfo QSOFAinfo","National Institute for Health and Care Excellence$$Suspected sepsis: recognition, diagnosis and early management NICE guideline NG51 2024$$https://www.nice.org.uk/guidance/ng51££National Institute for Health and Care Excellence 2007$$Acutely ill adults in hospital: recognising and responding to deterioration NICE guideline CG50 2007$$https://www.nice.org.uk/guidance/cg50","0","A-E assessment of fever, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"9","Haematuria Assessment","1","HaematuriaAx","Surgery Medicine bleeding renal uti blood","AbdoPainAx LowUrineOutputAx INRMx IVFluidMx TransfusionMx VTEProphylaxis AKI AXR ClottingProducts ECG IVFluids TransfusionConsent AKINCLASSIFICATIONinfo CKD-EPIinfo CREATININECLEARANCEinfo MEWSinfo NEWS2info STONESCOREinfo","Kaag M, Raman J 2016$$Clinical guidelines: Clearing murky water - a guideline-based approach to haematuria.$$https://pubmed.ncbi.nlm.nih.gov/27071454/££National Institute for Health and Care Excellence 2025$$Suspected cancer: recognition and referral NG12 2025$$https://www.nice.org.uk/guidance/ng12/chapter/Recommendations-organised-by-site-of-cancer££Wilkinson I, Raine T, Wiles, K, Hately P, Kelly D, Mcgurgan I. 2025$$Oxford Handbook of Clinical Medicine (11 edn) 2024$$https://academic.oup.com/book/56266","0","A-E assessment of haematuria, including advice on key signs and symptoms, useful investigations and potential diagnoses"
"10","Haematemesis Assessment","1","HaematemesisAx","Emergency Gastroenterology Medicine UGIB Liver bleeding varices melena","DeterioratingPatientAx AbdoPainAx ChestPainAx HaemoptysisAx RectalBleedingAx AlcoholMx EpistaxisMx INRMx IVFluidMx NauseaMx ParacetamolOverdoseMx TachycardiaMx TransfusionMx VTEProphylaxis ABGAnalysis AXR ClottingProducts ECG IVFluids TransfusionConsent CAGEQUESTIONNAIREinfo CHILD-PUGHinfo CLIF-CACLFinfo FORRESTinfo GLASGOWBLATCHFORDinfo HAS-BLEDScoreinfo MEWSinfo NEWS2info ROCKALLPOST-ENDOSCOPYinfo ROCKALLPRE-ENDOSCOPYinfo UKELDinfo AsciticFluidAnalysis UpperGIBleedMx DecompensatedCirrhosisMx","National Institute for Health and Care Excellence$$Acute upper gastrointestinal bleeding in over 16s: management 2016$$https://www.nice.org.uk/guidance/cg141/chapter/Recommendations££European Society of Gastrointestinal Endoscopy (ESGE) 2021$$Endoscopic diagnosis and management of nonvariceal upper gastrointestinal hemorrhage (NVUGIH) 2021$$https://www.esge.com/assets/downloads/pdfs/guidelines/2021_a_1369_5274.pdf","0","A-E assessment of haematemesis, including advice on key signs and symptoms, useful investigations and potential diagnoses"
